"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"SILVERSUMMIT HEALTHPLAN, INC.","Wellcare by Allwell","H6446","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Denver","3,086","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.","H5471","Local CCP","HMO/HMOPOS","01/01/2012","For Profit","Elevance Health, Inc.","Chicago","56,164","9250 W. Flagler Street","Suite 600","Miami","FL","33174","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"SIMPRA ADVANTAGE, INC.","Simpra Advantage","H4091","Local CCP","Local PPO","01/01/2018","For Profit","Associated Care Ventures, Inc.","Atlanta","2,611","3008 7th Avenue South","","Birmingham","AL","35233","CFO/COO","Brenier","Holly","","1-205-757-9107","","","Holly.Brenier@acvcorp.com","3008 7th Avenue South","","Birmingham","AL","35233","06/12/2023"
"SIOUXLAND PACE, INC.","SIOUXLAND PACE, INC.","H8424","National PACE","National PACE","08/01/2008","Not-for-Profit/Non-Profit","Iowa Health System","Kansas City","232","1200 Tri View Ave","","Sioux City","IA","51103","CEO","Swanstrom","Matt","","1-515-471-9702","","1-515-241-4238","matt.swanstrom@unitypoint.org","1776 Westlakes Pkwy","Suite 400","West Des Moines","IA","50266","05/08/2024"
"SOLIS HEALTH PLANS, INC.","Solis Health Plans","H0982","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Athena Healthcare Holdings, LLC","Atlanta","7,396","9250 NW 36th Street","Suite 400","Miami","FL","33178","Provider Services Departm","Services","Provider","","1-833-615-9259","","","providerrelations@solishealthplans.com","9250 NW 36th Street","Suite 400","Miami","FL","33178","08/20/2019"
"SONDER HEALTH PLANS, INC.","Sonder Health Plans, Inc.","H1748","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Avian Health Holdings, LLC","Atlanta","2,567","6190 Powers Ferry Road","Suite 320","Atlanta","GA","30339","Chief Operating Officer","Merritt","Charles","","1-470-765-2163","","","cmerritt@sonderhealthplans.com","6190 Powers Ferry Road","Suite 320","Atlanta","GA","30339","04/05/2023"
"SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","H2419","Local CCP","HMO/HMOPOS","08/01/2005","Not-for-Profit/Non-Profit","South Country Health Alliance","Chicago","1,183","6380 West Frontage Road","","MEDFORD","MN","55049","Communications Manager","Gartner","Chris","","1-507-431-3021","","1-507-444-7774","cgartner@mnscha.org","South Country Health Alliance","6380 West Frontage Road","Medford","MN","55049","10/26/2021"
"SOUTH COUNTRY HEALTH ALLIANCE","South Country Health Alliance","H5703","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","South Country Health Alliance","Chicago","459","6380 West Frontage Road","","Medford","MN","55049","Communications Manager","Gartner","Chris","","1-507-431-3021","","1-507-444-7774","cgartner@mnscha.org","South Country Health Alliance","6380 West Frontage Road","Medford","MN","55049","10/26/2021"
"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","H9042","Local CCP","Local PPO","01/01/2021","For Profit","SIHO Holding, Inc.","Chicago","1,480","417 Washington Street","","Columbus","IN","47201","Director of Provider Rela","Jones","Michelle","","1-812-378-7107","","","Michelle.Jones@siho.org","417 Washington Street","","Columbus","IN","47201","03/06/2024"
"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","H6529","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","SIHO Holding, Inc.","Chicago","882","417 Washington Street","","Columbus","IN","47201","Director of Provider Rela","Jones","Michelle","","1-812-378-7107","","","Michelle.Jones@siho.org","417 Washington Street","","Columbus","IN","47201","03/06/2024"
"STAYWELL SENIOR CARE, INC.","StayWell Senior Care","H1533","National PACE","National PACE","12/01/2014","Not-for-Profit/Non-Profit","American Healthcare Systems, LLC","Atlanta","76","809 Curry Dr.","","Asheboro","NC","27205","ED","Martin","Karen","","1-336-628-4210","","1-336-628-4235","karen.martin@amhealthsystems.com","809 Curry Dr.","","Asheboro","NC","27205","10/04/2023"
"STOCKTON PACE","WelbeHealth","H8082","National PACE","National PACE","01/01/2019","For Profit","WelbeHealth LLC.","San Francisco","758","582 E. Harding Way","","Stockton","CA","95204","","Grant","Alexsa","","1-650-336-0300","","","alexsa.grant@welbehealth.com","440 N BARRANCA AVE #4051","","COVINA","CA","91723","01/19/2023"
"SUMMACARE INC.","SummaCare Medicare Advantage Plans","H3660","Local CCP","HMO/HMOPOS","06/01/1996","Not-for-Profit/Non-Profit","Summa Health","Chicago","23,175","P. O. Box 3620","1200 E. Market Street, Suite 400","AKRON","OH","44309","Director of Contracting a","Stahler","Kurt","","1-330-996-8972","","","stahlerk@summacare.com","1200 East Main Street","Ste 400","Akron","OH","44305","03/11/2024"
"SUMMIT HEALTH PLAN, INC.","Summit Health Plan, Inc.","H2765","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Moda Partners, Inc.","Seattle","2,914","601 SW Second Ave","","Portland","OR","97204","","Service","Customer","","1-844-827-2355","","1-855-466-7208","MedicalMedicare@modahealth.com","PO Box 40384","","Portland","OR","97240-0384","05/21/2024"
"SUNCOAST PACE, INC.","Suncoast PACE, Inc.","H3430","National PACE","National PACE","09/01/2009","Not-for-Profit/Non-Profit","Empath Health, Inc.","Atlanta","320","5771 Roosevelt Blvd.","","Clearwater","FL","33760","Executive Director","Messersmith","Chris","","1-727-324-1858","","","ChristopherMessersmith@empathhealth.org","5771 Roosevelt Blvd","","Clearwater","FL","33760","09/01/2023"
"SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare by Allwell","H9387","Local CCP","Local PPO","01/01/2021","For Profit","Centene Corporation","Denver","1,458","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare by Allwell","H6550","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","2,059","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC.","Allwell","H9276","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Centene Corporation","Denver","","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"SUNSHINE STATE HEALTH PLAN, INC.","Wellcare by Allwell","H5190","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Centene Corporation","Denver","","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"SUPERIOR HEALTHPLAN, INC.","Wellcare by Allwell","H0062","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"SUPERIOR HEALTHPLAN, INC.","Superior HealthPlan","H6870","Demo","Medicare-Medicaid Plan HMO/HMOPOS","03/01/2015","For Profit","Centene Corporation","Dallas","5,252","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"SUPERIOR HEALTHPLAN, INC.","Wellcare by Allwell","H5294","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Denver","37,950","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"SUTTER VALLEY HOSPITALS","Sutter SeniorCare PACE","H5406","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Sutter Valley Hospitals","San Francisco","406","444 North 3rd Street","Suite 150","Sacramento","CA","95811","Executive Director","Erdmann","Julie","A","1-833-560-7223","","1-916-491-3408","Julie.Erdmann@sutterhealth.org","444 North 3rd Street","Suite 150","Sacramento","CA","95811","11/08/2022"
"Scott & White Care Plans","Baylor Scott & White Health Plan","H4943","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Baylor Scott & White Holdings","Denver","198","1206 West Campus Dr","","Temple","TX","76502","Compliance Officer","Cornett","Amy","","1-254-298-3211","","","Amy.Cornett@BSWHealth.org","1206 West Campus Drive","","Temple","TX","76502","01/14/2022"
"Senior CommUnity Care Of Kentucky","Senior CommUnity Care of Kentucky","H6759","National PACE","National PACE","05/01/2023","Not-for-Profit/Non-Profit","Volunteers of America National Services","Atlanta","43","1660 Duke Street","","Alexandria","VA","22314","Executive Director","Booker","Chiquita","","1-952-941-0305","","1-952-941-0428","cbooker@voa.org","960 S. 4th Street","","Louisville","KY","40203","03/08/2023"
"Sunshine State Health Plan, Inc.","Wellcare","H1032","Local CCP","HMO/HMOPOS","01/01/2000","For Profit","Centene Corporation","Denver","74,415","7700 Forsyth Blvd","","St. Louis","MO","63105","","Inquiries","Website","","1-888-888-9355","","","contactus@wellcare.com","8725 Henderson Rd","","Tampa","FL","33634","06/20/2024"
"TEXAS INDEPENDENCE HEALTH PLAN, INC.","Texas Independence Health Plan","H5015","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Regency ISNP Holdings LLC","Dallas","2,310","1908 N. Laurent, Suite 250","","Victoria","TX","77901","","Service","Customer","","1-833-471-8447","","","info@txindependencehealthplan.com","1908 N. Laurent","Suite 250","Victoria","TX","77901","10/29/2023"
"THE CASCADE PACE, INC.","Thome PACE","H2835","National PACE","National PACE","02/01/2016","Not-for-Profit/Non-Profit","United Methodist Retirement Communities, Inc.","Chicago","222","2282 Springport Rd","","Jackson","MI","49202","PACE Director of Finance","Dukes","Jaclyn","","1-734-879-0325","","","jdukes@hvpace.org","2282 Springport Road","","Jackson","MI","49202","12/09/2020"
"THE HEALTH PLAN OF WEST VIRGINIA, INC.","The Health Plan","H3672","Local CCP","HMO/HMOPOS","03/01/1997","Not-for-Profit/Non-Profit","The Health Plan of West Virginia, Inc.","Philadelphia","8,322","1110 Main Street","","Wheeling","WV","26003","Director Medicare Operati","Staffileno","Penny","","1-740-695-7597","","1-740-699-6163","pstaffileno@healthplan.org","The Health Plan","1110 Main Street","Wheeling","WV","26003","07/25/2024"
"THE JOHNS HOPKINS HEALTH SYSTEM CORPORATION","Hopkins ElderPlus","H2109","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","The Johns Hopkins Health System Corporation","Philadelphia","132","4940 EASTERN AVENUE","MASON LORD BLDG.,EAST TOWER 1ST FLR","BALTIMORE","MD","21224","Director","Hampton","Tonoah","","1-410-550-7124","","1-410-550-7045","thampto4@jh.edu","4940 Eastern Ave","","Baltimore","MD","21224","08/11/2023"
"THE WASHTENAW PACE","Huron Valley PACE","H4118","National PACE","National PACE","02/01/2014","Not-for-Profit/Non-Profit","Utd Methodist Retirement Communities of SE MI","Chicago","276","2940 Ellsworth Rd.","","Ypsilanti","MI","48197","Marketing Manager","Mann-Shanahan","Lindsay","","1-734-572-5777","","","lmann-shanahan@hvpace.org","2940 Ellsworth","","Ypsilanti","MI","48197","03/10/2020"
"THP INSURANCE COMPANY","The Health Plan","H8604","Local CCP","Local PPO","01/01/2008","For Profit","The Health Plan of West Virginia, Inc.","Philadelphia","987","1110 Main Street","","Wheeling","WV","26003","Director Medicare Operati","Staffileno","Penny","","1-740-695-7597","","1-740-699-6163","pstaffileno@healthplan.org","The Health Plan","1110 Main Street","Wheeling","WV","26003","07/25/2024"
"TOTAL COMMUNITY CARE, L.L.C.","InnovAge New Mexico PACE","H5213","National PACE","National PACE","06/01/2004","For Profit","Total Community Options, Inc.","Philadelphia","440","8950 East Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"TOTAL LIFE HEALTHCARE","Total Life Healthcare","H4305","National PACE","National PACE","06/01/2008","Not-for-Profit/Non-Profit","St. Bernard's Healthcare","New York","348","225 East Washington #92","505 E. Matthews","Jonesboro","AR","72401","Executive Director","Whitehead","Chad","","1-870-207-7505","","1-870-207-0527","crwhitehead@sbrmc.org","505 E Matthews","505 E Matthews Avenue","Jonesboro","AR","72401","05/02/2023"
"TOTAL LONGTERM CARE, INC.","InnovAge Colorado PACE","H0613","National PACE","National PACE","04/01/2003","For Profit","Total Community Options, Inc.","Dallas","2,717","8950 E. Lowry Blvd.","","DENVER","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"TOTAL LONGTERM CARE, INC.","InnovAge California PACE","H6079","National PACE","National PACE","03/01/2014","For Profit","Total Community Options, Inc.","San Francisco","1,181","8950 East Lowry Blvd.","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"TOTAL SENIOR CARE, INC.","Total Senior Care, Inc.","H8800","National PACE","National PACE","10/01/2008","Not-for-Profit/Non-Profit","Community Care of Western New York, Inc.","New York","123","519 North Union Street","","Olean","NY","14760","Director of Organizationa","Yanetsko","Meme","","1-716-379-8474","","","myanetsko@homecare-hospice.org","519 North Union Street","","Olean","NY","14760-2135","02/19/2024"
"TRH HEALTH INSURANCE COMPANY","Farm Bureau Health Plans","H4863","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Tennessee Rural Health Improvement Association","Atlanta","964","Farm Bureau Health Plans","","147 Bear Creek Pike","TN","38401","Vice President of Sales &","Ring","Tracy","","1-833-999-0135","","","tring@fbhp.com","P.O. Box 313","","Columbia","TN","38402","06/03/2024"
"TRILLIUM COMMUNITY HEALTH PLAN, INC.","Wellcare by Trillium","H2174","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Centene Corporation","Denver","2,172","7700 Forsyth Blvd.","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"TRINITY HEALTH LIFE PENNSYLVANIA, INC.","Mercy LIFE - West Philadelphia","H3908","National PACE","National PACE","01/01/2002","Not-for-Profit/Non-Profit","Trinity Health Corporation","Philadelphia","301","4508 CHESTNUT STREET","","PHILADELPHIA","PA","19139","Executive Director","Johnson","Lisa","","1-267-787-8150","","","lisa.johnson001@trinity-health.org","4508 Chestnut Street","","Philadelphia","PA","19139","03/14/2023"
"TRINITY HEALTH PACE OF ALEXANDRIA","Trinity Health PACE of Alexandria","H1312","National PACE","National PACE","05/01/2024","Not-for-Profit/Non-Profit","Trinity Health Corporation","Philadelphia","","3403 Government Street","","Alexandria","LA","71301","Executive Director","Plaisance","Wayne","","1-504-559-2350","","","wayne.plaisance@trinity-health.org","3403 Government Street","","Alexandria","LA","71301","08/04/2023"
"TRINITY HEALTH PACE OF PENSACOLA","Trinity Health PACE of Pensacola","H5538","National PACE","National PACE","03/01/2024","Not-for-Profit/Non-Profit","Trinity Health Corporation","Atlanta","*","5020 Commerce Park","","Pensacola","FL","32505","Executive Director","Garrett","Travis","","1-417-214-0524","","","travis.garrett@trinity-health.org","5020 Commerce Park Circle","","Pensacola","FL","32505","08/04/2023"
"TRINITY HEALTH PLAN OF MICHIGAN INC","Trinity Health Plan of Michigan","H9179","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","Trinity Health Corporation","Chicago","1,501","3100 Easton Square Place","3rd Floor-Health Plan","Columbus","OH","43219","Medicare Compliance Offic","Suffern","Patricia","","1-412-478-0244","","1-614-546-3131","patricia.suffern@medigold.com","3100 Easton Square Place","Suite 300-Health Plan","Columbus","OH","43219","02/07/2023"
"TRIPLE S ADVANTAGE, INC.","Triple-S Advantage","H4005","Local CCP","Local PPO","01/01/2005","For Profit","Guidewell Mutual Holding Corporation","Atlanta","6,245","PO BOX 11320","","SAN JUAN","PR","00922","PCP Perform and Engagemen","Mendez","Zoraida","","1-787-749-4949","8322629","1-787-620-0939","zoraida.mendez@ssspr.com","PO Box 11320","","San Juan","PR","00922","02/11/2022"
"TRIPLE S ADVANTAGE, INC.","Triple S Advantage","H5774","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Guidewell Mutual Holding Corporation","Atlanta","118,915","PO Box 11320","","San Juan","PR","00922","Network Management Vicepr","Perez Morales","Dionnel","","1-787-749-4949","8321996","1-787-620-0939","dionnel.perez@ssspr.com","PO Box 11320","","San Juan","PR","00922","04/18/2024"
"TROY HEALTH, INC.","Troy Medicare","H4676","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Troy Holdings, Inc.","Atlanta","1,970","P.O. Box 11267","","Charlotte","NC","28220","","Scott","Sally","","1-502-645-3161","","","sally@troymedicare.com","P.O. Box 11267","","Charlotte","NC","28220","06/27/2024"
"TRU COMMUNITY CARE","TRU PACE","H7262","National PACE","National PACE","02/01/2017","Not-for-Profit/Non-Profit","TRU Community Care","New York","301","2594 Trailridge Drive East","","Lafayette","CO","80026","PACE Community Relations","Morelli","Selina","","1-303-604-5356","","","SelinaMorelli@trucare.org","2593 Park Lane","","Lafayette","CO","80026","04/16/2024"
